asset_key,resref,format,container_version,frame_count,cycle_count,width,height,source_bif,locator,source_size,source_sha256,extracted_path
ui-resource:mos:CH02AGLN,CH02AGLN,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900003,136,5948466FF6433148EB1315ECE7A38C76340D24061673E9DEA943D216594A162C,interface/source/mos/CH02AGLN.mos
ui-resource:mos:CH03AMON,CH03AMON,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900004,136,22C6010111E1ADAA785060A0AA0BF8A97C76456465D824A3EE85D21956ACD270,interface/source/mos/CH03AMON.mos
ui-resource:mos:CH04ASHP,CH04ASHP,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900005,164,0D3D5B175DAE1DCCC7175364E0B1D2C9EBEB49D1933D358A5E6FF16AE1198FED,interface/source/mos/CH04ASHP.mos
ui-resource:mos:CH04BGTH,CH04BGTH,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900006,164,32D72AC59D6FEF170614801818ABEB3B3C8EBB420A1EC26780095670EDDBC845,interface/source/mos/CH04BGTH.mos
ui-resource:mos:CH04CSAH,CH04CSAH,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900007,136,F88917905C8FE1481903C203773931CC8892F17CA80047D4CF1088F5DC0D05D1,interface/source/mos/CH04CSAH.mos
ui-resource:mos:CH05AUND,CH05AUND,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900008,136,53D7B7B325F8BD8449FF37F734F2597DA0D0779E0330145444CC189616284B92,interface/source/mos/CH05AUND.mos
ui-resource:mos:CH06ADRW,CH06ADRW,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900009,136,95D2F525262921E51BA05CAF3A8D80A8BE86F8733D21E46E302137E58F2419F7,interface/source/mos/CH06ADRW.mos
ui-resource:mos:CH07ASUL,CH07ASUL,MOS,V2,,,1024,768,data/GUIMosc.bif,0x0090000A,108,48DD07F995676966BCF611FD6074A85EFB26CADA9FE4E1D448A975A5386CD60D,interface/source/mos/CH07ASUL.mos
ui-resource:mos:CHPTAMKE,CHPTAMKE,MOS,V2,,,1024,768,data/25GuiMos.bif,0x0A200000,136,D45F58288AAF359746CB0BA1CB9623EA7BFE5F6365D930375D88395A0FA7809A,interface/source/mos/CHPTAMKE.mos
ui-resource:mos:CHPTMANA,CHPTMANA,MOS,V2,,,1024,768,data/25GuiMos.bif,0x0A200001,136,2627F7C8636E804306476CD351D95E35D001E7104064C3632B8D9855432D1374,interface/source/mos/CHPTMANA.mos
ui-resource:mos:CHPTODRE,CHPTODRE,MOS,V2,,,1024,768,data/25GuiMos.bif,0x0A200002,136,CB4ACD9E98CD99ACDB152E1CE87DDDDD0FAFE0FD94F6B8FF00DBFB7622E39BE2,interface/source/mos/CHPTODRE.mos
ui-resource:mos:CHPTSARA,CHPTSARA,MOS,V2,,,1024,768,data/25GuiMos.bif,0x0A200003,108,5BF25815B7A60454995B4876B00FA6B6E5BB78237E2F04FE60708004AD8517BF,interface/source/mos/CHPTSARA.mos
ui-resource:mos:COLOR,COLOR,MOS,V2,,,548,606,data/GUIMosc.bif,0x0090000B,276,1D1647972EA02A472C6FFC8B32CB88490D2EC85EC274AA35CE3A5E79F964401F,interface/source/mos/COLOR.mos
ui-resource:mos:COLORI,COLORI,MOS,V2,,,516,520,data/GUIMosc.bif,0x0090000C,164,4D9DA460B4F56B832AFF2E8B8112B9B473323CDEDF9B31096AC7DDF72BB5CF80,interface/source/mos/COLORI.mos
ui-resource:mos:COLORR,COLORR,MOS,V2,,,864,710,data/GUIMosc.bif,0x0090000D,444,CB50124B4C9401C460B2BEDECB426D1EE2912A8D87C7C03928E033954D81261F,interface/source/mos/COLORR.mos
ui-resource:mos:DLGDIVI,DLGDIVI,MOS,V2,,,800,8,data/Patch2.bif,0x0BD001F9,248,D6EFD977D466CA44EF3F882A4FA7CAAB8F8B9EA6A99B757EEC92FF782CEED3C5,interface/source/mos/DLGDIVI.mos
