asset_key,relation,dependency_resref,dependency_format,present,source_bif
ui-resource:mos:GUICPORB,texture-page,MOS0122,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICPORB,texture-page,MOS0123,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICPORB,texture-page,MOS0124,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICREDT,texture-page,MOS0124,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICREDT,texture-page,MOS0125,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICUSTB,texture-page,MOS0125,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICUSTB,texture-page,MOS0126,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICUSTP,texture-page,MOS0126,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICUSTP,texture-page,MOS0127,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICUSTX,texture-page,MOS0127,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICUSTX,texture-page,MOS0128,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIDCB,texture-page,MOS0128,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIDCX,texture-page,MOS0128,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIDCX,texture-page,MOS0129,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIDLC,texture-page,MOS0129,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIDLC,texture-page,MOS0130,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIDLCH,texture-page,MOS0130,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIDLCH,texture-page,MOS0131,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIERR10,texture-page,MOS0131,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIERR21,texture-page,MOS0131,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIERR21,texture-page,MOS0132,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIERR6,texture-page,MOS0132,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIERR7,texture-page,MOS0132,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIERR7,texture-page,MOS0133,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIERR8,texture-page,MOS0133,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIEXPE,texture-page,MOS0133,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIGDB,texture-page,MOS0133,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIGDB,texture-page,MOS0134,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIHELP,texture-page,MOS0134,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIHELP,texture-page,MOS0135,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIHSB,texture-page,MOS0135,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIHSB,texture-page,MOS0136,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIHSBS,texture-page,MOS0136,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIHSBS,texture-page,MOS0137,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIINVHB,texture-page,MOS0137,PVRZ,yes,data/bgee.bif
