bam_resref,format,frames,max_frame_width,max_frame_height,occurrences,areas,area_ids,external_palette_occurrences,external_palette_resrefs,relative_path,sha256
AM2100PC,BAM V1,7,94,130,1,1,AR2100,0,,ressources/AM2100PC,bc4b44aabd1a04fb778793c7a4983b2f6cafefaba21f88faba0f82bf9c6940e9
AM2201A,BAM V1,7,90,170,1,1,AR2201,0,,ressources/AM2201A,635320e858c5ee2b1f05673420a0d047fb42b5277db5243868d0049e6b9fe3ab
AM2201B,BAM V1,7,148,115,5,1,AR2201,0,,ressources/AM2201B,c37f374bb906f090c3c372056372705543509648ddc0c826d4091c6f5aeb1d74
AM2300A,BAM V1,7,82,125,3,1,AR2300,0,,ressources/AM2300A,567bc153890ae92a3f291e4eb38be805bd77ee13e96148dd8636a97d87661101
AM2801A,BAM V1,7,153,108,3,3,AR2801;AR2808;AR2809,0,,ressources/AM2801A,feabd84e460d60688ac520d42e3a27515b09e6b1a7828f407ff80d939562acf5
AM2802A,BAM V1,7,152,108,3,3,AR2802;AR2810;AR2811,0,,ressources/AM2802A,ed89294d8be4ad894b22441c14a2cd4d00a77a9590168379223fd2f919a90933
AM2805A,BAM V1,7,93,104,2,2,AR2804;AR2805,0,,ressources/AM2805A,2b9825686913b15a81afd560fa3d97abbc3930b421cd9ac8e8d5b83baf19ec65
AM2805B,BAM V1,7,186,184,2,1,AR2804,0,,ressources/AM2805B,d28c6887e5409cc72249299f6badabb9e6e5133bb1896383e64fc91f02e60e86
AM2805C,BAM V1,7,224,182,1,1,AR2804,0,,ressources/AM2805C,f1b9ea14d9b3a9c3476aeb64cba1f7ed5950f89fd57035d3245e93977814671b
AM3000A,BAM V1,16,248,221,1,1,AR3000,0,,ressources/AM3000A,9bb245f6ba3f15a6a1d3f16b762c373b01eacf93996cd406966e770b3131cdfc
AM3000E,BAM V1,24,39,68,5,1,AR3000,5,PLT_MAGE,ressources/AM3000E,4093c0364b5a6e1178e02c68e3a979121307c949b7ff0665c33a8883829352e7
AM3000H,BAM V1,15,114,119,1,1,AR3000,0,,ressources/AM3000H,f6f97b84789f3ffd23afa86be94c820c916e47337e810ca67fce2268eac64836
AM3001D,BAM V1,15,129,86,1,1,AR3001,0,,ressources/AM3001D,4653efeb9eab7e25fba8e008df6e750333892f03e5c3efa83e9484bc262e42f1
AM3001F,BAM V1,6,40,40,5,1,AR3001,0,,ressources/AM3001F,7aae71404d479311020c9b24f9ca5a1ee327d5584029d52b63864d8fec5d20d3
AM3001G,BAM V1,12,78,105,1,1,AR3001,0,,ressources/AM3001G,956f39a1a2d3e1052b725742829fa1fbe6dc4b7f4671cea1b5557eb0b72e84f5
AM3011A,BAM V1,8,111,112,1,1,AR3011,0,,ressources/AM3011A,c6de44e2c9dc8013f392532a583493b2cf4e68d107259dd0f9458e70c3c6cc7f
AM3011B,BAM V1,8,30,60,1,1,AR3011,0,,ressources/AM3011B,4510e7d6d7787df373e2a4ce490899f29dee186ebe95c6c6c66f1f55c5262ecc
AM3016A,BAM V1,10,32,111,2,1,AR3016,0,,ressources/AM3016A,24109f9f9a55152e2a74eeb05fd9abc9f584e8d77e421f1fc643d56681f7c545
AM3016B,BAM V1,10,180,48,1,1,AR3016,0,,ressources/AM3016B,121b6531b7c4a273923d69a1f1a99d21c2d19cb9cdbef5542fb214f511fd8a66
AM3016D,BAM V1,64,32,67,3,1,AR3016,0,,ressources/AM3016D,b22d2464dc5d9277f1f43a2d73f54e197c9e278ca90aaf49e957900a05b091e4
AM3016E,BAM V1,12,178,129,1,1,AR3016,0,,ressources/AM3016E,000db115d3a199a9d252c353a731039957e9fbe82f779cdb50c9921bd28185bc
AM3016G,BAM V1,12,184,129,1,1,AR3016,0,,ressources/AM3016G,8ffbf7ac7687713579e071b1d5c77b2c4b0553f40aefaa07c0812046714c9449
