asset_key,asset_directory,spatial_run,spatial_state,interpolation_run,interpolation_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
effects:bam:FIREH,effects/ressources/FIREH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FISH4SA,effects/ressources/FISH4SA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FISH4SB,effects/ressources/FISH4SB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FISH4SC,effects/ressources/FISH4SC,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FISH5SA,effects/ressources/FISH5SA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FISH5SB,effects/ressources/FISH5SB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FISH5SC,effects/ressources/FISH5SC,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FISM1YEL,effects/ressources/FISM1YEL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLLGBLU,effects/ressources/FLLGBLU,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLLGBLUE,effects/ressources/FLLGBLUE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLLGRED,effects/ressources/FLLGRED,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLM1PUR,effects/ressources/FLM1PUR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLM1RED,effects/ressources/FLM1RED,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLM2RED,effects/ressources/FLM2RED,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLMDBLU,effects/ressources/FLMDBLU,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLML,effects/ressources/FLML,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLMSTRK,effects/ressources/FLMSTRK,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLSM1PUR,effects/ressources/FLSM1PUR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FLSM1RED,effects/ressources/FLSM1RED,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
