asset_key,domain,asset_type,resref,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,extracted_path
supplemental:sprites:paperdoll-animation-bam:WPMF1INV,sprites,paperdoll-animation-bam,WPMF1INV,BAM,V1,2,1,data/PaperDol.bif,0x0620039A,2040,40EAE9D738850B2F95AFAB48EDAFFAD5459C1175CF237925EC248B235F90C730,graphics/source/sprites/WPMF1INV.bam
supplemental:sprites:paperdoll-animation-bam:WPMF1OIN,sprites,paperdoll-animation-bam,WPMF1OIN,BAM,V1,2,1,data/PaperDol.bif,0x0620039B,1977,9CB677B106559551A623CDECF41A4F194E2B647EECBEF5CD2DCA21317031FB81,graphics/source/sprites/WPMF1OIN.bam
supplemental:sprites:paperdoll-animation-bam:WPMF1W2,sprites,paperdoll-animation-bam,WPMF1W2,BAMC,V1,50,8,data/PaperDol.bif,0x0620039C,4255,32AD24BB71E583EA25ABB1F11C7787AFF20D8D0E3C579106E83CC969385E7DE9,graphics/source/sprites/WPMF1W2.bam
supplemental:sprites:paperdoll-animation-bam:WPMF1W2E,sprites,paperdoll-animation-bam,WPMF1W2E,BAMC,V1,30,8,data/PaperDol.bif,0x0620039D,3148,02243AAD1FBC116F49088117B737D49C0389A9E6DBBBA247C05177C9371D7A0A,graphics/source/sprites/WPMF1W2E.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2A1,sprites,paperdoll-animation-bam,WPMF2A1,BAM,V1,60,16,data/PaperDol.bif,0x0620039E,11820,444E8BE8460B0E93BF46128EDE26D9F8B79D90D7EB9E742086B4C7A1690B30EA,graphics/source/sprites/WPMF2A1.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2A1E,sprites,paperdoll-animation-bam,WPMF2A1E,BAM,V1,36,16,data/PaperDol.bif,0x0620039F,7937,7742E3AE3D7F05691C19817C6095E4E879B341F9BB6A2C7E10FB4B89936B9250,graphics/source/sprites/WPMF2A1E.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2A3,sprites,paperdoll-animation-bam,WPMF2A3,BAM,V1,55,8,data/PaperDol.bif,0x062003A0,9496,94B803BB801321F432F5DB24FDF545E595DFB9B3F109B1D90A7C3BFFAC302BD2,graphics/source/sprites/WPMF2A3.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2A3E,sprites,paperdoll-animation-bam,WPMF2A3E,BAM,V1,33,8,data/PaperDol.bif,0x062003A1,8891,F77E870DC99B767AD6319D72A77E8D2536BA86171BC003D4CE1160A76B8FC8A5,graphics/source/sprites/WPMF2A3E.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2A5,sprites,paperdoll-animation-bam,WPMF2A5,BAM,V1,45,8,data/PaperDol.bif,0x062003A2,8339,73ACEDC129567B5512C788381BDCA2F3D81BE5D14FE04184647DC34A9C067F3D,graphics/source/sprites/WPMF2A5.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2A5E,sprites,paperdoll-animation-bam,WPMF2A5E,BAM,V1,27,8,data/PaperDol.bif,0x062003A3,6173,624D0437541E2E53CF343338CD040B2356B6D6B4D3EE4BE8E7C996284D9A2416,graphics/source/sprites/WPMF2A5E.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2G1,sprites,paperdoll-animation-bam,WPMF2G1,BAM,V1,175,72,data/PaperDol.bif,0x062003A4,30747,61EBF447162C583CB1BA3B6E5AFFEE0D79798A7C94DCC9F9DA3FA549374E2DAB,graphics/source/sprites/WPMF2G1.bam
supplemental:sprites:paperdoll-animation-bam:WPMF2G1E,sprites,paperdoll-animation-bam,WPMF2G1E,BAM,V1,105,72,data/PaperDol.bif,0x062003A5,21440,7DE7EA6497C918411138E0F4067F7F078D63550C2B681ECBE23C7138F353CA80,graphics/source/sprites/WPMF2G1E.bam
