asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator,source_size,source_sha256,extracted_path
icon:CDBOLT03,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDCHAN01,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDCHAN02,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDCHAN02,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDCLCK01,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDDUST01,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDHALB01,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDPLAT01,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDSHLD01,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDSPER01,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDSW1H01,texture-page,MOS0042,PVRZ,yes,data/bgee.bif,0x0B000076,73611,E1430FF8C49C12A2913AB94FD11270262B2FB5FB05FEAC2090B4F5452CD827BD,icons/dependencies/pvrz/MOS0042.pvrz
icon:CDSW1H01,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CDSW1H02,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CDXBOW01,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CFAMCAT,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CFAMFER,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CFAMIMP,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CFAMPSD,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CFAMRAB,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CGBER01,texture-page,MOS0043,PVRZ,yes,data/bgee.bif,0x0B000077,69088,391A4FF32415BFAE710EB1B5EA5AACF6C611D3BC9989E96BAEE4F288D9D8C750,icons/dependencies/pvrz/MOS0043.pvrz
icon:CGBER01,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB01,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB02,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB03,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB04,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB05,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB06,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB07,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB08,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB09,texture-page,MOS0044,PVRZ,yes,data/bgee.bif,0x0B000078,49493,F095BDBCF42007720653601543CAA33AE62725779E378BA42B2F35676BA13967,icons/dependencies/pvrz/MOS0044.pvrz
icon:CHALB09,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHALB09A,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHALB09B,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHAMM01,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHAMM02,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHAMM03,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHAMM05,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHAMM06,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
